Date,Step Count,Distance (m),Calories Burned(cal x 10)
2022-05-10,2261,990.39308,0
2022-05-11,681,302.07952,0
2022-05-12,602,266.92869,0
2022-05-13,2221,949.63045,0
2022-05-14,4926,1929.871312,0
2022-05-15,4908,2122.6171,0
2022-05-16,339,130.7303,0
2022-05-17,1536,631.48719,0
2022-05-18,1948,826.03801,0
2022-05-19,442,192.59617,0
2022-05-20,5087,2128.213542,0
2022-05-21,1028,447.28797,0
2022-05-22,3045,1237.268307,0
2022-05-23,626,266.15835,0
2022-05-24,6909,2848.92018,0
2022-05-25,1262,547.98733,0
2022-05-26,662,290.20527,0
2022-05-27,3027,1276.694529,0
2022-05-28,3616,1582.999351,0
2022-05-29,6152,2710.47226,0
2022-05-30,75,30.1738,0
2022-05-31,3811,1695.48421,0
2022-06-01,190,81.89672,0
2022-06-02,2102,886.3917,0
2022-06-03,296,129.03391,0
2022-06-04,494,207.35742,0
2022-06-05,3927,1714.02244,0
2022-06-06,1409,597.61621,0
2022-06-07,4588,1958.94302,0
2022-06-08,1001,445.52338,0
2022-06-09,1212,532.32813,0
2022-06-10,300,131.73072,0
2022-06-11,2512,1133.31281,0
2022-06-12,3665,1529.40323,0
2022-06-13,1389,601.698686,0
2022-06-14,6196,2707.67322,0
2022-06-15,3003,1325.88334,0
2022-06-16,3335,1397.34846,0
2022-06-17,657,288.533742,0
2022-06-18,931,411.292107,0
2022-06-19,3228,1400.07956,0
2022-06-20,402,157.6232,0
2022-06-21,5882,2602.43324,0
2022-06-22,714,317.99283,0
2022-06-23,1114,480.47006,0
2022-06-24,2885,1347.18781,0
2022-06-25,1876,759.81253,0
2022-06-26,5885,2627.09251,0
2022-06-27,9230,4065.55951,0
2022-06-28,8540,3742.17227,0
2022-06-29,5043,2221.49485,0
2022-06-30,9283,4229.18263,0
2022-07-01,2240,962.852085,0
2022-07-02,1926,888.592452,0
2022-07-03,3736,1677.98808,0
2022-07-04,13067,5925.69578,0
2022-07-05,7700,3085.18803,0
2022-07-06,13405,5835.45837,0
2022-07-07,5222,2230.969424,0
2022-07-08,5781,2602.42088,0
2022-07-09,4485,2008.13486,0
2022-07-10,10401,4698.043192,0
2022-07-11,11711,5003.361776,0
2022-07-12,12231,5698.64612,0
2022-07-13,16091,7477.65488,0
2022-07-14,9779,4500.39536,0
2022-07-15,4536,2051.01569,0
2022-07-16,8185,3706.54127,0
2022-07-17,790,340.41832,0
2022-07-18,6687,3026.75318,0
2022-07-19,4568,1979.26343,0
2022-07-20,1203,519.168147,0
2022-07-21,10019,4301.53429,0
2022-07-22,3843,1612.65592,0
2022-07-23,1096,447.68211,0
2022-07-24,5302,2305.17472,0
2022-07-25,5006,2063.44577,0
2022-07-26,691,289.40406,0
2022-07-27,9963,4233.91373,0
2022-07-28,857,344.77443,0
2022-07-29,1062,470.707767,0
2022-07-30,979,421.331635,0
2022-07-31,9560,4281.24309,0
2022-08-01,12207,5242.180382,0
2022-08-02,9451,4026.80446,0
2022-08-03,9279,4095.64722,0
2022-08-04,2580,1347.82387,0
2022-08-05,586,241.788,0
2022-08-06,5474,2125.786397,0
2022-08-07,921,378.390419,0
2022-08-08,729,294.126064,0
2022-08-09,6839,2868.839225,0
2022-08-10,1836,765.43635,0
2022-08-11,168,62.01276,0
2022-08-12,1335,569.803827,0
2022-08-13,3128,1299.3126,0
2022-08-14,7904,3080.819111,0
2022-08-15,3146,1258.63074,0
2022-08-16,630,250.40603,0
2022-08-17,2678,1108.42892,0
2022-08-18,6728,2754.88837,0
2022-08-19,5054,2063.026712,0
2022-08-20,10460,4160.034804,0
2022-08-21,6772,2963.10539,0
2022-08-22,8213,3677.40355,0
2022-08-23,3158,1389.25916,0
2022-08-24,6854,2936.285687,0
2022-08-25,2438,1078.56934,0
2022-08-26,5741,2462.956484,0
2022-08-27,4666,2053.50186,0
2022-08-28,5025,2108.19546,0
2022-08-29,5055,2126.2016,0
2022-08-30,5332,2247.991443,0
2022-08-31,3308,1363.5619,0
2022-09-01,4751,2030.85313,0
2022-09-02,8344,3378.10096,0
2022-09-03,235,104.06719,0
2022-09-04,1219,525.873502,0
2022-09-05,477,197.167227,0
2022-09-06,1955,790.80123,0
2022-09-07,7099,2883.71352,0
